official_list_id,name,address,prefecture,municipality,stall_count,max_kw,tesla_location_id,official_source_url,stall_count_source_url,source_checked_at,review_status
"138","東京 - 二子玉川","158-0094 東京都世田谷区玉川 3-38-1","東京都","","4","250","451166","https://www.tesla.com/ja_JP/findus/location/supercharger/451166","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"139","東京 – 代官山","150-0033 東京都渋谷区猿楽町 16-15","東京都","","4","250","tokyodaikanyamasupercharger1","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyodaikanyamasupercharger1","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"140","東京 - 新宿","160-0023 東京都新宿区西新宿 2-4-1","東京都","","4","250","tokyoshinjukusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyoshinjukusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"141","東京 - 日比谷","100-0011 東京都千代田区内幸町 2-1-1","東京都","","4","250","tokyohibiyasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyohibiyasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"142","調布","182-0036 東京都調布市飛田給 1-34-17","東京都","","4","72","tokyochofusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyochofusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"143","東京 - 赤坂","107-0052 東京都港区赤坂 1-12-33","東京都","","4","125","tokyoakasakasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyoakasakasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"144","東京 - 駒沢","158-0081 東京都世田谷区深沢 4-6","東京都","","6","250","31676","https://www.tesla.com/ja_JP/findus/location/supercharger/31676","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"145","東京 - 高輪","108-0074 東京都港区高輪 2-21-1 THE LINKPILLAR 1 NORTH B1F","東京都","","8","250","31649","https://www.tesla.com/ja_JP/findus/location/supercharger/31649","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"146","東京 - お台場","135-0064 東京都江東区青海 2-4-32","東京都","","4","150","tokyokotokusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyokotokusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"147","東京 - 丸の内","100-0005 東京都千代田区丸の内 1-1-1","東京都","","2","130","chiyodakupalacehotelsupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/chiyodakupalacehotelsupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"148","東京 - 東雲","135-0062 東京都江東区東雲 2-7-20","東京都","","8","72","tokyoeastsupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyoeastsupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"149","松戸","270ｰ0023 千葉県松戸市 八ケ崎 2-8-1","千葉県","","4","250","chibamatsudosupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/chibamatsudosupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"150","横浜","245-0053 神奈川県横浜市戸塚区上矢部町 995-1","神奈川県","","4","150","yokohama","https://www.tesla.com/ja_JP/findus/location/supercharger/yokohama","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"151","湘南","251-0041 神奈川県藤沢市辻堂神台 1-3-1","神奈川県","","2","125","kanagawashonansupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/kanagawashonansupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"152","高崎玉村","370-1133 群馬県佐波郡玉村町大字上新田 604-1","群馬県","","6","130","takasaskisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/takasaskisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
